	0
0	5983.8
1	13984.6
2	669.0
3	2447.527777777778
4	10497.9
5	2038.2
6	3549.323163744209
7	914.7
8	1657.0285714285715
9	305.0
10	5314.8
11	1755.0
12	9501.407142857142
13	378.0
14	4552.9
15	798.9
16	1613.1875865800866
17	20247.633333333335
18	3143.726984126984
19	490.5695238095238
20	1442.0239833558255
21	1950.0
22	5883.9
23	3543.223333333333
24	1319.6
25	1841.25
26	1463.1926245099928
27	1170.0
28	2603.25
29	6622.9
30	12260.763844863857
31	34789.6
32	769.2813492063492
33	451.5
34	332.45
35	6528.0
36	7088.5
37	546.235
38	5827.103593073593
39	1839.8
40	2767.5
41	7739.9
42	7663.16839105339
43	744.85
44	3760.0
45	1871.7
46	1110.0
47	1552.7380952380956
48	1138.1333333333332
49	1750.6665906023802
50	934.1666666666667
51	390.9
52	4882.857857142857
53	695.4
54	1713.6
55	987.4980086580086
56	3113.134081707766
57	3716.0
58	2497.578888888889
59	1473.8333333333335
60	6995.314285714286
61	5658.133333333333
62	41786.66666666667
63	5556.0
64	3299.4
65	3200.5
66	3733.2351587301587
67	3009.9
68	3442.6
69	3005.0
70	6164.0
71	4747.612420634921
72	3434.1775932400933
73	26342.9
74	3559.9
75	3057.083333333333
76	2036.4847979797978
77	3310.0
78	889.0
79	2610.750178387144
80	5716.5
81	3390.217760497536
82	13543.316553724053
83	1488.425
84	206.0
85	3737.6428138528145
86	2964.9
87	10180.4
88	2057.165714285714
89	2228.9871815885404
90	1344.8916666666669
91	510.0
92	2637.222222222222
93	3520.0
94	7897.75
95	8764.5
96	1715.0
97	2472.05
98	845.5373015873016
99	11467.5
100	2790.697775835276
101	2558.4
102	4677.523333333333
103	1173.2483333333334
104	544.3
105	2631.8550000000005
106	15139.8
107	3624.7
108	2859.7063325563327
109	9035.357466422467
110	4968.8
111	5540.0
112	4420.633333333333
113	12932.646666666666
114	7033.333333333334
115	9950.35
116	7923.935714285714
117	1054.757142857143
118	910.0
119	6826.666666666666
120	3850.684523809524
121	5421.826926580097
122	6933.456349206349
123	2954.065
124	925.1789960483535
125	1277.502564102564
126	2531.5
127	1285.6266666666666
128	242.5
129	4489.891666666666
130	3154.6
131	9749.166666666668
132	982.6910714285714
133	10924.356666666665
134	722.2666666666667
135	975.6817570587307
136	1127.9833333333333
137	7765.866666666667
138	2193.915
139	498.1666666666667
140	26928.5
141	8949.8
142	9869.0
143	5777.216666666667
144	770.041553030303
145	13589.166666666666
146	7000.0
147	2255.9
148	903.0
149	2306.6287356321836
150	2066.9
151	17969.0
152	358.78333333333336
153	18144.95
154	1156.3333333333335
155	3225.5
156	16045.0
157	3998.9
158	1941.8333333333335
159	923.9520518800282
160	4831.5666666666675
161	1919.9
162	893.1
163	8930.558333333332
164	4998.333333333333
165	4928.5
166	16743.483333333334
167	4401.866666666667
168	3637.1726190476184
169	17915.833333333332
170	6832.324999999999
171	513.9999999999999
172	14487.9
173	11198.0
174	668.8333333333334
175	4039.3304473304474
176	1109.987380952381
177	7116.0142857142855
178	1913.3185714285714
179	1826.0105222294046
180	850.0687709595971
181	653.5690476190476
182	693.5833333333334
183	427.5
184	835.4166666666666
185	10871.0
186	1111.3
187	1089.0666666666666
188	387.9
189	58589.7
190	2549.9115079365083
191	4487.8
192	1266.742380952381
193	4614.4
194	2972.268040488923
195	9796.708333333334
196	655.8333333333333
197	2266.7200000000003
198	3446.6
199	4317.015844531286
200	14360.604395604396
201	1196.5234437340882
202	5787.475
203	5448.9275029137525
204	560.0
205	1150.05
206	2124.3
207	881.0
208	1049.9
209	2743.4754773460672
210	7030.635323960526
211	4317.9047619047615
212	381.37179681429683
213	1008.1916666666668
214	3411.9
215	5203.435684870686
216	641.2666666666667
217	4480.0
218	297.73809523809524
219	2459.9
220	615.8333333333334
221	18334.7
222	696.9
223	9632.5
224	860.6049999999999
225	12828.833333333334
226	3550.0
227	5171.983333333334
228	6194.7490196078425
229	6604.6416666666655
